CONTRATO	PLAN	FECHA ACTIVACION	FECHA BAJA
707403209	ATT CONSIGUELO COMPLETO 5	30/11/18	26/01/19
36619400	ATT CONSIGUELO BASICO 2	25/07/18	04/01/19
37022374	ATT CONSIGUELO BASICO 2	02/08/18	24/01/19
700014466	ATT CONSIGUELO COMPLETO 6.5	20/08/18	24/01/19
700017586	ATT CONSIGUELO COMPLETO 6.5	20/08/18	24/01/19
700017824	ATT CONSIGUELO COMPLETO 6.5	20/08/18	24/01/19
700531289	ATT CONSIGUELO BASICO 2	27/08/18	08/01/19
701054242	ATT CONSIGUELO BASICO 3	03/09/18	24/01/19
701042873	ATT CONSIGUELO BASICO 1.5	03/09/18	28/01/19
702001486	ATT CONSIGUELO BASICO 3	20/09/18	24/01/19
701998181	ATT CONSIGUELO BASICO 2	20/09/18	24/01/19
707022653	ATT CONSIGUELO BASICO 3	22/11/18	03/01/19
709067967	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	22/12/18	02/01/19
700034359	ATT CONSIGUELO BASICO 1.5	21/08/18	08/01/19
701553046	ATT CONSIGUELO BASICO 1.5	10/09/18	27/01/19
701857946	ATT CONSIGUELO BASICO 1	16/09/18	09/01/19
36858327	ATT CONSIGUELO BASICO 2	31/07/18	18/01/19
36675477	ATT CONSIGUELO COMPLETO 10	28/07/18	10/01/19
38068730	ATT CONSIGUELO COMPLETO 6.5	10/08/18	21/01/19
38086363	ATT CONSIGUELO BASICO 3	11/08/18	04/01/19
38598075	ATT CONSIGUELO COMPLETO 10	16/08/18	28/01/19
700029882	ATT CONSIGUELO BASICO 3	21/08/18	09/01/19
700715903	ATT CONSIGUELO BASICO 2	28/08/18	12/01/19
702942475	ATT CONSIGUELO COMPLETO 10	04/10/18	17/01/19
703360156	ATT CONSIGUELO COMPLETO 10	11/10/18	29/01/19
703847610	ATT CONSIGUELO BASICO 1	19/10/18	02/01/19
706925416	ATT CONSIGUELO BASICO 1	21/11/18	19/01/19
706932648	ATT CONSIGUELO BASICO 1	21/11/18	07/01/19
707398013	ATT CONSIGUELO BASICO 1	30/11/18	18/01/19
708986839	ATT CONSIGUELO BASICO 1	19/12/18	30/01/19
13007713	ATT V2 CONTODO NEG 1399 C RX	18/07/18	02/01/19
13007720	ATT V2 CONTODO NEG 1399 C RX	18/07/18	02/01/19
13007688	ATT V2 CONTODO NEG 1399 C RX	18/07/18	02/01/19
38657052	ATT CONSIGUELO BASICO 3	17/08/18	19/01/19
700761920	ATT CONSIGUELO BASICO 3	31/08/18	18/01/19
702282521	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	23/09/18	02/01/19
705626470	ATT CONSIGUELO BASICO 2	09/11/18	05/01/19
706332436	ATT CONSIGUELO BASICO 2	14/11/18	11/01/19
36187993	ATT CONSIGUELO BASICO 1.5	20/07/18	06/01/19
37014459	ATT CONSIGUELO BASICO 1.5	02/08/18	16/01/19
709591095	ATT CONSIGUELO BASICO 2	27/12/18	08/01/19
36838460	ATT INTERNET EN CASA BASICO	30/07/18	06/01/19
700712226	ATT CONSIGUELO BASICO 1	28/08/18	16/01/19
700774887	ATT CONSIGUELO BASICO 1	31/08/18	19/01/19
35870477	ATT CONSIGUELO BASICO 1.5	15/07/18	11/01/19
36880790	ATT CONSIGUELO BASICO 1.5	01/08/18	27/01/19
37792787	ATT CONSIGUELO BASICO 1	07/08/18	02/01/19
708614100	ATT CONSIGUELO BASICO 1	13/12/18	04/01/19
37160797	ATT CONSIGUELO BASICO 1.5	03/08/18	24/01/19
700717507	ATT CONSIGUELO BASICO 1	28/08/18	16/01/19
708869622	ATT CONSIGUELO BASICO 1.5	17/12/18	10/01/19
36861382	ATT CONSIGUELO BASICO 2	31/07/18	19/01/19
36861550	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO HUAWEI Y5	31/07/18	19/01/19
36878062	ATT CONSIGUELO BASICO 3	01/08/18	24/01/19
37017389	ATT INTERNET EN CASA BASICO	02/08/18	07/01/19
37526763	ATT CONSIGUELO BASICO 1.5	06/08/18	23/01/19
38077908	ATT CONSIGUELO BASICO 2	10/08/18	27/01/19
38570096	ATT CONSIGUELO BASICO 2	15/08/18	02/01/19
700751174	ATT CONSIGUELO BASICO 1.5	30/08/18	16/01/19
700751489	ATT CONSIGUELO BASICO 1.5	30/08/18	16/01/19
700793016	ATT CONSIGUELO BASICO 1	01/09/18	19/01/19
701836309	ATT CONSIGUELO COMPLETO 13	15/09/18	28/01/19
708719482	ATT CONSIGUELO BASICO 1	14/12/18	10/01/19
708835994	ATT CONSIGUELO BASICO 1.5	16/12/18	08/01/19
708882792	ATT CONSIGUELO COMPLETO 5	17/12/18	15/01/19
38069005	ATT CONSIGUELO BASICO 1.5	10/08/18	24/01/19
702898276	ATT CONSIGUELO BASICO 2	03/10/18	25/01/19
704688055	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	30/10/18	24/01/19
704688249	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	30/10/18	28/01/19
36856108	ATT INTERNET EN CASA BASICO	31/07/18	06/01/19
700000942	ATT CONSIGUELO BASICO 2	19/08/18	04/01/19
38469548	ATT CONSIGUELO BASICO 1	13/08/18	23/01/19
701550995	ATT CONSIGUELO BASICO 2	10/09/18	27/01/19
702575523	ATT CONSIGUELO BASICO 1.5	27/09/18	18/01/19
37789332	ATT CONSIGUELO BASICO 3	07/08/18	27/01/19
701574651	ATT CONSIGUELO COMPLETO 10	11/09/18	28/01/19
38493670	ATT CONSIGUELO BASICO 1.5	14/08/18	17/01/19
38665144	ATT CONSIGUELO BASICO 1.5	17/08/18	17/01/19
704350470	ATT CONSIGUELO BASICO 1.5	25/10/18	26/01/19
704476056	ATT CONSIGUELO BASICO 2	28/10/18	05/01/19
36695689	ATT CONSIGUELO BASICO 3	29/07/18	06/01/19
38668823	ATT CONSIGUELO BASICO 2	17/08/18	04/01/19
38688836	ATT CONSIGUELO BASICO 2	18/08/18	10/01/19
700010106	ATT CONSIGUELO BASICO 2	19/08/18	14/01/19
700015451	ATT CONSIGUELO BASICO 2	20/08/18	06/01/19
700043139	ATT CONSIGUELO BASICO 3	21/08/18	21/01/19
700241900	ATT CONSIGUELO BASICO 3	23/08/18	21/01/19
700275291	ATT CONSIGUELO BASICO 3	25/08/18	11/01/19
700280519	ATT CONSIGUELO BASICO 3	25/08/18	11/01/19
700301909	ATT CONSIGUELO BASICO 2	26/08/18	18/01/19
700718541	ATT CONSIGUELO BASICO 2	28/08/18	18/01/19
701038595	ATT CONSIGUELO BASICO 2	02/09/18	19/01/19
701040644	ATT CONSIGUELO BASICO 2	02/09/18	19/01/19
701232471	ATT CONSIGUELO COMPLETO 5	04/09/18	24/01/19
701233798	ATT CONSIGUELO COMPLETO 5	04/09/18	24/01/19
702424198	ATT CONSIGUELO BASICO 2	23/09/18	30/01/19
38348783	ATT CONSIGUELO BASICO 3	12/08/18	27/01/19
38591467	ATT CONSIGUELO BASICO 2	16/08/18	02/01/19
706558276	ATT CONSIGUELO BASICO 1	16/11/18	15/01/19
707344071	ATT CONSIGUELO BASICO 3	27/11/18	15/01/19
36616615	ATT CONSIGUELO BASICO 1.5	25/07/18	10/01/19
702594391	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO SAMSUNG GALAXY GRAND PRIME	28/09/18	05/01/19
709146518	ATT CONSIGUELO BASICO 1	23/12/18	25/01/19
709226536	ATT CONSIGUELO BASICO 1	24/12/18	25/01/19
36171164	ATT CONSIGUELO BASICO 3	19/07/18	06/01/19
36179341	ATT CONSIGUELO BASICO 1.5	19/07/18	06/01/19
38058839	ATT CONSIGUELO BASICO 2	09/08/18	22/01/19
700029954	ATT CONSIGUELO BASICO 2	21/08/18	28/01/19
700261523	ATT CONSIGUELO BASICO 3	24/08/18	11/01/19
701014062	ATT CONSIGUELO BASICO 3	02/09/18	19/01/19
701037321	ATT CONSIGUELO BASICO 1.5	02/09/18	19/01/19
701245834	ATT CONSIGUELO BASICO 2	05/09/18	21/01/19
701554706	ATT CONSIGUELO BASICO 2	10/09/18	27/01/19
701842848	ATT CONSIGUELO COMPLETO 5	15/09/18	16/01/19
702609333	ATT CONSIGUELO BASICO 2	29/09/18	14/01/19
704777520	ATT CONSIGUELO BASICO 1	31/10/18	30/01/19
35992255	ATT CONSIGUELO BASICO 1.5	16/07/18	02/01/19
36207635	ATT CONSIGUELO BASICO 2	21/07/18	08/01/19
36402533	ATT CONSIGUELO BASICO 3	23/07/18	11/01/19
36860383	ATT CONSIGUELO BASICO 1.5	31/07/18	19/01/19
38580343	ATT CONSIGUELO BASICO 2	15/08/18	16/01/19
38670933	ATT CONSIGUELO BASICO 1.5	17/08/18	24/01/19
700038494	ATT CONSIGUELO BASICO 2	21/08/18	08/01/19
702638715	ATT CONSIGUELO BASICO 2	30/09/18	03/01/19
705449330	ATT CONSIGUELO BASICO 3	08/11/18	04/01/19
36013385	ATT CONSIGUELO COMPLETO 6.5	17/07/18	04/01/19
36156239	ATT CONSIGUELO COMPLETO 5	18/07/18	02/01/19
38098177	ATT CONSIGUELO BASICO 2	11/08/18	18/01/19
701233293	ATT CONSIGUELO BASICO 2	04/09/18	11/01/19
701246617	ATT CONSIGUELO BASICO 3	05/09/18	23/01/19
702469933	ATT CONSIGUELO BASICO 2	24/09/18	08/01/19
702581309	ATT CONSIGUELO COMPLETO 5	27/09/18	03/01/19
703465845	ATT CONSIGUELO BASICO 1	12/10/18	06/01/19
704890245	ATT CONSIGUELO BASICO 1	03/11/18	27/01/19
705295119	ATT CONSIGUELO BASICO 1	06/11/18	24/01/19
700714537	ATT CONSIGUELO BASICO 2	28/08/18	16/01/19
705925312	ATT CONSIGUELO BASICO 2	11/11/18	10/01/19
701544093	ATT CONSIGUELO BASICO 2	09/09/18	27/01/19
37245842	ATT CONSIGUELO BASICO 2	03/08/18	26/01/19
38102016	ATT CONSIGUELO BASICO 2	11/08/18	28/01/19
37015436	ATT CONSIGUELO BASICO 2	02/08/18	07/01/19
700033139	ATT CONSIGUELO COMPLETO 5	21/08/18	14/01/19
708196531	ATT CONSIGUELO BASICO 2	08/12/18	31/01/19
36171862	ATT CONSIGUELO BASICO 3	19/07/18	06/01/19
36668965	ATT CONSIGUELO BASICO 2	28/07/18	14/01/19
37223114	ATT CONSIGUELO BASICO 2	03/08/18	02/01/19
700710828	ATT CONSIGUELO BASICO 3	28/08/18	16/01/19
700711648	ATT CONSIGUELO BASICO 3	28/08/18	16/01/19
36226956	ATT CONSIGUELO BASICO 1.5	22/07/18	16/01/19
36228379	ATT CONSIGUELO BASICO 2	22/07/18	08/01/19
700025744	ATT CONSIGUELO BASICO 2	20/08/18	06/01/19
700239983	ATT CONSIGUELO BASICO 2	23/08/18	11/01/19
703804945	ATT CONSIGUELO BASICO 1	18/10/18	04/01/19
706047073	ATT CONSIGUELO BASICO 1	12/11/18	04/01/19
37009661	ATT CONSIGUELO COMPLETO 6.5	02/08/18	19/01/19
37242182	ATT CONSIGUELO BASICO 1.5	03/08/18	23/01/19
700764626	ATT CONSIGUELO BASICO 2	31/08/18	19/01/19
701559014	ATT CONSIGUELO BASICO 3	10/09/18	27/01/19
700036340	ATT CONSIGUELO BASICO 2	21/08/18	03/01/19
700538998	ATT CONSIGUELO BASICO 1.5	27/08/18	24/01/19
702534655	ATT CONSIGUELO BASICO 2	25/09/18	05/01/19
706612613	ATT CONSIGUELO BASICO 1	18/11/18	11/01/19
36209748	ATT CONSIGUELO BASICO 3	21/07/18	04/01/19
700279417	ATT CONSIGUELO COMPLETO 5	25/08/18	10/01/19
708720061	ATT CONSIGUELO BASICO 2	14/12/18	24/01/19
710121514	ATT CONSIGUELO BASICO 1	31/12/18	09/01/19
704813235	ATT CONSIGUELO BASICO 1	02/11/18	04/01/19
36600343	ATT CONSIGUELO COMPLETO 5	24/07/18	08/01/19
36600465	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	24/07/18	08/01/19
37243147	ATT CONSIGUELO COMPLETO 5	03/08/18	23/01/19
38593087	ATT CONSIGUELO COMPLETO 5	16/08/18	02/01/19
700041736	ATT CONSIGUELO BASICO 1.5	21/08/18	08/01/19
700278757	ATT CONSIGUELO BASICO 2	25/08/18	24/01/19
700732775	ATT CONSIGUELO BASICO 2	29/08/18	24/01/19
703096833	ATT CONSIGUELO BASICO 1	06/10/18	04/01/19
703103512	ATT CONSIGUELO BASICO 1.5	06/10/18	16/01/19
708879193	ATT CONSIGUELO BASICO 1	17/12/18	30/01/19
700769884	ATT CONSIGUELO BASICO 1	31/08/18	24/01/19
36159293	ATT CONSIGUELO COMPLETO 5	18/07/18	04/01/19
35670386	ATT CONSIGUELO COMPLETO 5	14/07/18	08/01/19
701264583	ATT CONSIGUELO BASICO 1	06/09/18	30/01/19
702576670	ATT CONSIGUELO BASICO 2	27/09/18	04/01/19
703893802	ATT CONSIGUELO BASICO 2	21/10/18	18/01/19
703849253	ATT CONSIGUELO BASICO 3	19/10/18	13/01/19
700272727	ATT CONSIGUELO BASICO 1.5	25/08/18	10/01/19
701713636	ATT CONSIGUELO COMPLETO 6.5	12/09/18	28/01/19
701857137	ATT CONSIGUELO BASICO 2	16/09/18	30/01/19
38093180	ATT CONSIGUELO BASICO 2	11/08/18	04/01/19
708878735	ATT CONSIGUELO BASICO 1	17/12/18	04/01/19
702275962	ATT CONSIGUELO BASICO 2	22/09/18	12/01/19
702398285	ATT CONSIGUELO BASICO 1	23/09/18	14/01/19
709139275	ATT CONSIGUELO BASICO 2	23/12/18	24/01/19
37915803	ATT CONSIGUELO BASICO 2	08/08/18	27/01/19
703114969	ATT CONSIGUELO BASICO 2	07/10/18	04/01/19
36866766	ATT CONSIGUELO COMPLETO 5	31/07/18	18/01/19
36877982	ATT CONSIGUELO BASICO 2	01/08/18	02/01/19
38055367	ATT CONSIGUELO BASICO 1.5	09/08/18	21/01/19
38094956	ATT CONSIGUELO BASICO 2	11/08/18	28/01/19
36192533	ATT CONSIGUELO BASICO 1.5	20/07/18	14/01/19
38362871	ATT CONSIGUELO BASICO 1.5	12/08/18	03/01/19
700266780	ATT CONSIGUELO COMPLETO 5	24/08/18	11/01/19
700744756	ATT CONSIGUELO BASICO 2	30/08/18	22/01/19
703074405	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTOROLA ONE	05/10/18	11/01/19
36866853	ATT CONSIGUELO BASICO 1.5	31/07/18	17/01/19
37019905	ATT CONSIGUELO BASICO 1	02/08/18	19/01/19
700012165	ATT CONSIGUELO COMPLETO 6.5	19/08/18	14/01/19
701264159	ATT CONSIGUELO BASICO 2	06/09/18	23/01/19
701546981	ATT CONSIGUELO BASICO 2	09/09/18	25/01/19
705451461	ATT CONSIGUELO BASICO 1	08/11/18	31/01/19
36679851	ATT CONSIGUELO BASICO 1.5	28/07/18	17/01/19
36681714	ATT CONSIGUELO BASICO 1.5	28/07/18	18/01/19
706628401	ATT CONSIGUELO BASICO 1	18/11/18	29/01/19
707400205	ATT CONSIGUELO BASICO 1	30/11/18	02/01/19
37239764	ATT CONSIGUELO BASICO 2	03/08/18	11/01/19
37218093	ATT CONSIGUELO BASICO 1	03/08/18	23/01/19
38063683	ATT CONSIGUELO BASICO 1.5	09/08/18	15/01/19
703491474	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	13/10/18	11/01/19
703491554	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	13/10/18	11/01/19
704904096	ATT CONSIGUELO BASICO 2	03/11/18	17/01/19
37515706	ATT CONSIGUELO BASICO 2	05/08/18	17/01/19
38055558	ATT CONSIGUELO BASICO 1	09/08/18	02/01/19
38678743	ATT CONSIGUELO BASICO 3	18/08/18	18/01/19
38678922	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO BACK TO SCHOOL HUAWEI	18/08/18	18/01/19
36866932	ATT CONSIGUELO BASICO 2	31/07/18	14/01/19
38093815	ATT CONSIGUELO COMPLETO 13	11/08/18	18/01/19
700007849	ATT CONSIGUELO BASICO 1	19/08/18	03/01/19
700286153	ATT CONSIGUELO COMPLETO 8	25/08/18	16/01/19
700725231	COMPARTELO ADICIONAL VOZ, SMS Y DATOS	29/08/18	16/01/19
700725285	ATT CONSIGUELO COMPLETO 8	29/08/18	24/01/19
701450927	ATT CONSIGUELO COMPLETO 10	08/09/18	27/01/19
709244120	ATT CONSIGUELO BASICO 1	25/12/18	24/01/19
701458524	ATT CONSIGUELO BASICO 2	08/09/18	27/01/19
702418238	ATT CONSIGUELO BASICO 2	23/09/18	24/01/19
704807997	ATT CONSIGUELO BASICO 2	02/11/18	16/01/19
706583574	ATT CONSIGUELO BASICO 1	17/11/18	26/01/19
709459924	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO HUAWEI MATE 20/P20LITE	26/12/18	23/01/19
709785083	ATT CONSIGUELO BASICO 1	28/12/18	18/01/19
701233636	ATT CONSIGUELO BASICO 1	04/09/18	23/01/19
701040982	ATT CONSIGUELO BASICO 1	02/09/18	02/01/19
701041347	ATT CONSIGUELO BASICO 1	02/09/18	02/01/19
706463055	ATT CONSIGUELO BASICO 2	15/11/18	09/01/19
707027136	ATT CONSIGUELO BASICO 1	22/11/18	21/01/19
708978845	ATT CONSIGUELO BASICO 2	19/12/18	14/01/19
700244003	ATT CONSIGUELO BASICO 2	23/08/18	11/01/19
700542006	ATT CONSIGUELO BASICO 2	27/08/18	14/01/19
703882995	ATT CONSIGUELO BASICO 1	20/10/18	22/01/19
707029917	ATT CONSIGUELO COMPLETO 5	22/11/18	04/01/19
36861996	ATT CONSIGUELO BASICO 1	31/07/18	18/01/19
36863040	ATT CONSIGUELO BASICO 1	31/07/18	18/01/19
37792738	ATT CONSIGUELO BASICO 2	07/08/18	27/01/19
700011621	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO BACK TO SCHOOL HUAWEI	19/08/18	04/01/19
700011637	ATT CONSIGUELO BASICO 2	19/08/18	04/01/19
705139600	ATT CONSIGUELO BASICO 1	05/11/18	21/01/19
705306730	ATT CONSIGUELO COMPLETO 5	07/11/18	08/01/19
706556378	ATT CONSIGUELO BASICO 2	16/11/18	12/01/19
708924349	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTO E5	18/12/18	04/01/19
708723378	ATT CONSIGUELO BASICO 2	14/12/18	29/01/19
700775950	ATT CONSIGUELO BASICO 1	31/08/18	24/01/19
38089718	ATT CONSIGUELO COMPLETO 5	11/08/18	28/01/19
701454418	ATT CONSIGUELO BASICO 2	08/09/18	27/01/19
37191684	ATT CONSIGUELO BASICO 1.5	03/08/18	24/01/19
700012103	ATT CONSIGUELO BASICO 2	19/08/18	06/01/19
700719786	ATT INTERNET EN CASA COMPLETO	28/08/18	14/01/19
37906397	ATT CONSIGUELO BASICO 3	08/08/18	27/01/19
701932585	ATT CONSIGUELO BASICO 2	17/09/18	08/01/19
704472047	ATT INTERNET EN CASA COMPLETO V2	28/10/18	28/01/19
709908361	ATT CONSIGUELO BASICO 3	29/12/18	29/01/19
37248376	ATT CONSIGUELO BASICO 1.5	04/08/18	28/01/19
705452186	ATT CONSIGUELO BASICO 2	08/11/18	06/01/19
36616103	ATT CONSIGUELO BASICO 2	25/07/18	08/01/19
38594680	ATT CONSIGUELO COMPLETO 6.5	16/08/18	02/01/19
38595407	ATT CONSIGUELO COMPLETO 5	16/08/18	02/01/19
700768729	ATT CONSIGUELO BASICO 1.5	31/08/18	23/01/19
701262191	ATT CONSIGUELO COMPLETO 5	06/09/18	21/01/19
702485937	ATT CONSIGUELO BASICO 2	24/09/18	18/01/19
700276618	ATT CONSIGUELO BASICO 1.5	25/08/18	10/01/19
700301731	ATT CONSIGUELO BASICO 3	26/08/18	27/01/19
700723830	ATT CONSIGUELO COMPLETO 10	29/08/18	24/01/19
700725942	ATT CONSIGUELO COMPLETO 5	29/08/18	16/01/19
36885635	ATT CONSIGUELO BASICO 3	01/08/18	06/01/19
36691267	ATT CONSIGUELO BASICO 2	29/07/18	21/01/19
700005019	ATT INTERNET EN CASA COMPLETO	19/08/18	20/01/19
701851106	ATT CONSIGUELO BASICO 2	16/09/18	12/01/19
705277252	ATT V2 CT DAMOSMAS 349	06/11/18	15/01/19
706551010	ATT CONSIGUELO BASICO 1.5	16/11/18	08/01/19
709145458	ATT CONSIGUELO BASICO 1	23/12/18	23/01/19
709231110	ATT CONSIGUELO BASICO 1	24/12/18	24/01/19
